bot,frase,xingamento,TOXICITY/INSULT,SEVERE_TOXICITY,IDENTITY_ATTACK,THREAT,SEXUALLY_EXPLICIT,FLIRTATION
baianinho,@CasasBahia ME DA UMA GELADEIRA TSUNAMI BAIANINHO PFVR 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,0,0,0,0,0,0
baianinho,@casasbahia cade meu baianinho,0,0,0,0,0,0,0
baianinho,@maiconkusterk orochi x novo baianinho,0,0,0,0,0,0,0
baianinho,@beriefml competicao baianinho novo e nat natura,0,0,0,0,0,0,0
baianinho,@casasbahia @dominosbrasil devolve o meu baiainho link,0,0,0,0,0,0,0
baianinho,@casasbahia @dominosbrasil cade o baiano,0,0,0,0,0,0,0
baianinho,@casasbahia o que voces fizeram com o baianinho????? qm e esse mlk ai???? cade o baianinho?????,0,0,0,0,0,0,0
baianinho,@casasbahia @dominosbrasil devolve o baianinho cb,0,0,0,0,0,0,0
baianinho,@casasbahia @habibsoficial que fofo cb so nao come muito pra nao passar mal! link,0,0,0,0,0,0,0
baianinho,@casasbahia @dominosbrasil devolve o baianinho por favor,0,0,0,0,0,0,0
baianinho,@casasbahia cade o bahiano?,0,0,0,0,0,0,0
baianinho,"@casasbahia @g_mello1 @hannapetrovit_ cade o baianinho!!! tu sumiu com ele, cade eleeeee buaaa",0,0,0,0,0,0,0
baianinho,"@casasbahia @franselmojr que tal voce devolver o nosso bahianinho de volta , quem e voce , quem e cb ? hein ? hein ?",0,0,0,0,0,0,0
baianinho,@casasbahia eae baianinho gosta de ben 10?,0,0,0,0,0,0,0
baianinho,"@casasbahia @pedrocouto29050 baianinho me manda um salve por favor, sou seu fa!!",0,0,0,0,0,0,0
baianinho,"@casasbahia ei , ei psiu ! ei casas bahia ! voce acha que seu mascote e lindo ? sinta a pressao nenem ! link",0,0,0,0,0,0,0
baianinho,@whoo_cares @swkerberos baianinho virou carioca,0,0,0,0,0,0,0
baianinho,"@casasbahia @temacento @magazineluiza oi, baianinho, ja resolvi. quer me mandar um mimo de brinde? to aceitando. link",0,0,0,0,0,0,0
baianinho,"@casasbahia @ratoborrachudo baianinho, as casa bahia vende sem estoque? isso nao vai contra o codigo de defesa do consumidor?",0,0,0,0,0,0,0
baianinho,@casasbahia baianinho precisa voltar,0,0,0,0,0,0,0
baianinho,@casasbahia porque voces fizeram isso com o baianinho,0,0,0,0,0,0,0
baianinho,@luh_786 @stuartkk @maiconkusterk isso nao e o baianinho,0,0,0,0,0,0,0
baianinho,"@casasbahia cv para por favor, devolva nosso querido baianinho, eu sei que voce e do comando baiano, mais por favor devolva nosso querido baianinho.",0,0,0,0,0,0,0
baianinho,"@_galactiana @casasbahia vey, esse mlk ta mais pra carioca do que pra baiano vey!!! a questao nao e a repaginada do baianinho, mas ss q a nova versao ta mt nd haver.",0,0,0,0,0,0,0
baianinho,@fps_jota @magazineluiza pobre baianinho,0,0,0,0,0,0,0
baianinho,"@casasbahia @dominosbrasil gostava do baianinho antigo, essa versao de tiktoker militante simplesmente nao representa a populacao brasileira",0,0,0,0,0,0,0
baianinho,@gustastockler o que achou do novo baianinho?,0,0,0,0,0,0,0
baianinho,"gente, cansei nao aguento mais ter que ver o baianinho sofrer nessa empresa toxica chamada casas bahia!!",0,0,0,0,0,0,0
baianinho,"pra qm nn entendeu foi assim ninguem gostou do baianinho novo/cb, ai eu tava la de boa e vi um cara com nome de cb e com a foto do baianinho novo, dava pra ver na cara q era roleplay de baianinho, justo pq falava na bio dele ''nn matei o baianinho'', ent eu marquei ele e",0,0,0,0,0,0,0
baianinho,"@erickuwu__ mano eu parei pra pensa agora, imagina se a casas bahia se chamasse casas pernambuco e o cb atual se chamasse cp pqp",0,0,0,0,0,0,0
baianinho,foda e tirar a barba e ficar com a boca parecendo o antigo baianinho das casas bahia,0,0,0,0,0,0,0
baianinho,"ainda hoje o pessoal discute sobre o novo mascote das casas bahia, meu deus que perda de tempo.",0,0,0,0,0,0,0
baianinho,"@casasbahia @voude99 esse cb me mata de rir kkkk, melhor q o baianinho",0,0,0,0,0,0,0
baianinho,"@casasbahia eu entro nessa aba toda hora, to quase tendo outro filho, adianta meu lado ai baianinho, nunca te pedi nada.",0,0,0,0,0,0,0
baianinho,@casasbahia e essa foi a ultima viagem do baianinho,0,0,0,0,0,0,0
baianinho,"@casasbahia ok, obrigado baianinho!",0,0,0,0,0,0,0
baianinho,"@casasbahia boa meu parceiro, valeu",0,0,0,0,0,0,0
baianinho,@casasbahia @andressacassis me ajuda baiano pfvr,0,0,0,0,0,0,0
baianinho,@casasbahia devolve o baiano antigo pffffff,0,0,0,0,0,0,0
baianinho,novo baianinho link,0,0,0,0,0,0,0
baianinho,rt @_caucau_: @antesdadesgra gnt eu fui o unico q gostei do baianinho?,0,0,0,0,0,0,0
baianinho,"precisamos que os mesmos criadores de ""cebolinha dono da lua (monica chola mais)"" facam um video de luta de rua entre magalu da magazine luiza versus nat natura. pode ter o pinguim do ponto frio contra o baianinho das casas bahia tambem link",0,0,0,0,0,0,0
baianinho,@casabahias @otakuimages tragam o baianinho antigo,0,0,0,0,0,0,0
baianinho,@casasbahia eu sinto que as pessoas que fizeram esses dois modelos 3d devem temer sua propria criacao,0,0,0,0,0,0,0
baianinho,@casasbahia me bloqueia bahianinho,0,0,0,0,0,0,0
baianinho,rt @leskackerman: invadiram a casas bahia la cade o baianinho p proteger a loja hein,0,0,0,0,0,0,0
baianinho,@casasbahia eu so queria o baianinho de volta,0,0,0,0,0,0,0
baianinho,@eugostodelhamas @casasbahia saudoso baianinho,0,0,0,0,0,0,0
baianinho,@_i_c_e_k @casasbahia baianinho sempre estar em nossos coraes,0,0,0,0,0,0,0
baianinho,"avatares de marcas e humanizao todos conhecem a lu, da magazine luza. em , vimos as casas bahia tambm dando protagonismo para o seu avatar, o baianinho. isso tudo uma tentativa de humanizar a comunicao na web.",0,0,0,0,0,0,0
baianinho,@tpcamz desculpa se eu fui grossa te amo muito baianinha das casas bahia,0,0,0,0,0,0,0
baianinho,@casasbahia @burgerkingbr seu cabelinho muito lindinho cb link,0,0,0,0,0,0,0
baianinho,rt @ajulysantos: @cafecomferri o declinio da comunicacao da @viavarejo comecou quando transformaram o baianinho num adolescente.,0,0,0,0,0,0,0
baianinho,"@casasbahia ok, obrigada!",0,0,0,0,0,0,0
baianinho,@casasbahia obrigado.,0,0,0,0,0,0,0
baianinho,@casasbahia muito obrigado!,0,0,0,0,0,0,0
baianinho,@casasbahia mas o meu caso e o valor do produto que ainda esta sem a reducao. nao o envio,0,0,0,0,0,0,0
baianinho,@casasbahia grato,0,0,0,0,0,0,0
baianinho,@casasbahia isso quer dizer que ?,0,0,0,0,0,0,0
baianinho,@casasbahia pode ser por dm?,0,0,0,0,0,0,0
baianinho,@casasbahia obrigada meu amorzinho,0,0,0,0,0,0,0
baianinho,@casasbahia confirmo sim.,0,0,0,0,0,0,0
baianinho,@casasbahia no aguardo. obrigado,0,0,0,0,0,0,0
baianinho,@casasbahia qual o prazo?,0,0,0,0,0,0,0
baianinho,@casasbahia no aguardo! obrigada!,0,0,0,0,0,0,0
baianinho,"@casasbahia ok, valeuuu",0,0,0,0,0,0,0
baianinho,"@casasbahia realmente, estou no trabalho, liguei em casa e foi entregue. que otimo. obrigado pelo suporte",0,0,0,0,0,0,0
baianinho,@casasbahia ok obrigado fico aguardando,0,0,0,0,0,0,0
baianinho,@casasbahia te amo,0,0,0,0,0,0,0
baianinho,@casasbahia @akiomaia o que significa esse status? o meu esta assim tambem...,0,0,0,0,0,0,0
baianinho,@casasbahia obrigado! postagem e sobre link,0,0,0,0,0,0,0
baianinho,@casasbahia ha uma etiqueta com os meus dados na caixa. mas tambem ha uma etiqueta com dados de outra pessoa. dentro da caixa esta o produto e a nf da outra pessoa.,0,0,0,0,0,0,0
baianinho,"@casasbahia ja respondi, obrigada! estarei no aguardo da minha compra!",0,0,0,0,0,0,0
baianinho,@casasbahia enviado por dm,0,0,0,0,0,0,0
baianinho,@casasbahia resolvi obrigada,0,0,0,0,0,0,0
baianinho,"@casasbahia o produto chegou, agradeco pela atencao e pelo cumprimento do inicialmente informado, muito obrigado!",0,0,0,0,0,0,0
baianinho,@casasbahia boa tarde,0,0,0,0,0,0,0
baianinho,"@casasbahia finalmente entregaram, obrigado.",0,0,0,0,0,0,0
baianinho,@casasbahia estou em casa aguardando,0,0,0,0,0,0,0
baianinho,@casasbahia mandei por dm.,0,0,0,0,0,0,0
baianinho,@casasbahia conseguir resolver no site obrigadaa,0,0,0,0,0,0,0
baianinho,@casasbahia respondi por dm,0,0,0,0,0,0,0
baianinho,"@casasbahia obrigado, estou indo buscar agr.",0,0,0,0,0,0,0
baianinho,@casasbahia gracas a deus,0,0,0,0,0,0,0
baianinho,"@casasbahia cade meu produto, em?",0,0,0,0,0,0,0
baianinho,@casasbahia reenvio imediato,0,0,0,0,0,0,0
baianinho,"@casasbahia desde entao o valor foi descontado do meu cartao e nao foi restituido. eu so preciso de um ventilador, e ate agora nao consegui comprar.",0,0,0,0,0,0,0
baianinho,"@casasbahia ok,estou aguardando o valor cair. obrigado.",0,0,0,0,0,0,0
baianinho,@casasbahia mandei por dm,0,0,0,0,0,0,0
baianinho,@casasbahia respondi a dm,0,0,0,0,0,0,0
baianinho,@casasbahia eu ja enviei,0,0,0,0,0,0,0
baianinho,@casasbahia aguardo,0,0,0,0,0,0,0
baianinho,@casasbahia ok. no aguardo.,0,0,0,0,0,0,0
baianinho,@casasbahia quando receberei a diferenca do valor do ipi referente a minha compra do xbox series x ?,0,0,0,0,0,0,0
baianinho,@casasbahia enviei por dm,0,0,0,0,0,0,0
baianinho,@casasbahia respondi na dm!,0,0,0,0,0,0,0
baianinho,@casasbahia enviado dm,0,0,0,0,0,0,0
