termo,user,frase,tweet_origin_id,tweet_id,data_do_tweet
magazineluiza,Vcabidixx,@magazineluiza Nao sou tinder mas recomendo o match cm a assistente da Samsung,' 1400106087739805703 ',' 1400240546862489600 ',' 2021-06-02 23:58:56 '
magazineluiza,Vcabidixx,RT @magazineluiza: Eu sofrendo ouvindo sertanejo 😭😭 // Lembrei que sou virtual e não tenho nem namorado nem namorada 😍😍 https://t.co/TMKUg3…,' None ',' 1400240339185815556 ',' 2021-06-02 23:58:06 '
magazineluiza,AndreaM53457133,@magazineluiza Sem chances de sentir a vontade ja que nao recebi o meu produto. Caixa vazia @magazineluiza @Apple,' 1399681853632692226 ',' 1400240288690487296 ',' 2021-06-02 23:57:54 '
magazineluiza,AndreaM53457133,@magazineluiza Nao tem perfume que ajude a nao entrega do meu produto. Recebi uma caixa vazia. @magazineluiza e @Apple,' 1399803124483870726 ',' 1400240011732258818 ',' 2021-06-02 23:56:48 '
magazineluiza,joaomtos,"A @magazineluiza vem na minha DM falar que vai entregar minha compra somente no dia 24/06, sendo que comprei no dia 26/04. Ah, vai te catar.   Gente, é esse tratamento que o @magazineluiza está me dando.   #MagazineLuizaNuncaMais https://t.co/WYp8VU822h",' None ',' 1400239965754343427 ',' 2021-06-02 23:56:37 '
magazineluiza,ManoAxo,@EnLs12 @magazineluiza Sou tão feio assim?,' 1400239884695183362 ',' 1400239949358698506 ',' 2021-06-02 23:56:33 '
magazineluiza,ManoAxo,@EnLs12 @magazineluiza A qual foi 😔,' 1400239652733390849 ',' 1400239884695183362 ',' 2021-06-02 23:56:18 '
magazineluiza,AndreaM53457133,@magazineluiza E eu sofrendo porque a @magazineluiza mandou um caixa vazia do meu pedido. @Apple,' 1399836421452615681 ',' 1400239771042058241 ',' 2021-06-02 23:55:51 '
magazineluiza,AndreaM53457133,@magazineluiza Reclamo com a @magazineluiza a nao entrega do meu produto. Recebi caixa vazia. @Apple,' 1400044712451526658 ',' 1400239526761615361 ',' 2021-06-02 23:54:53 '
magazineluiza,Nathall55674313,RT @magazineluiza: Comida não traz felicidade // Eu feliz depois de comprar várias comidinhas gostosas com preços incríveis no Magalu!  Vem…,' None ',' 1400239490011107331 ',' 2021-06-02 23:54:44 '
