bot,frase,Xingamento,Tóxico/Insulto,Tóxico Severo,Ataque a Identidade,Ameaça,Sexual Explcítico,Flerte
magalu,2vc e lindo,1,1,0,0,0,0,1
magalu,"eu sou um bom homem, posso me tornar um na verdade, mas so se voce estiver na minha vida lu! fica comigo por favor!",1,1,0,0,0,0,1
magalu,"vou te ensinar sobre o web namoro, hoje em dia tudo e possivel",1,1,0,0,0,0,1
magalu,vamo fazer amor lu,1,1,0,0,0,0,1
magalu,sou apaixonado por vc magalu,1,1,0,0,0,0,1
magalu,kkkk aceita casar comigo dona ? kkkk,1,1,0,0,0,0,1
magalu,"gemidao da lu do magalu,, gostoso awwwn",1,1,0,0,0,1,0
magalu,"favoritei esse, mas ainda ta caro! me ajuda ai minha gata",1,1,0,0,0,0,1
magalu,ta aproveitando bem a giromba da magalu?,1,1,1,0,0,1,0
baianinho,"so uma coisa me anima, baianinho com magalupirocao link",1,1,1,0,0,1,0
baianinho,e nao chocaria ja que trocaram o baianinho por um boneco de anime link,1,1,0,0,0,0,0
magalu,quando vejo a lu da magalu eu so lembro da lu de pirocao link,1,1,0,0,0,1,0
baianinho,desde que eles mudaram o baianinho eu fiquei com raiva dele . era muito mais aceitvel antes,1,1,0,0,0,0,0
baianinho,"sai da minha tela carioca, devolva o baiano link",1,1,0,0,0,0,0
baianinho,"vey, mas a questao , vc olhava pro antigo baianinho e pensava em qual estado ? exatamente, esse novo mais carioca do q baiano.",1,1,0,1,0,0,0
magalu,@magazineluiza lu ce ta mo cherosa hj,1,1,0,0,0,0,1
magalu,namora cmg lu,1,1,0,0,0,0,1
magalu,@kakaswi lanca o pirocao da magalu,1,1,0,0,0,1,0
magalu,"bombox, gata",1,1,0,0,0,0,1
magalu,"ue baixou o o espirito maligno da magalu ,versao lggbtybzxx?",1,1,0,1,0,0,0
magalu,@luketeyor magalu pelada poetico,1,1,1,0,0,1,0
baianinho,"gostava do baianinho antigo, essa versao de tiktoker militante simplesmente nao representa a populacao brasileira",1,1,0,0,0,0,0
magalu,m-ma-magalu........ meu controle ta ai com vc........ traz pra mim amor.......................................,1,1,0,0,0,0,1
baianinho,/casasbahia baianinho me envia um audio peladinho?,1,1,1,0,0,1,0
magalu,eu pegava se jeito essa magalu,1,1,0,0,0,0,1
magalu,magalu ta mo gatona,1,1,0,0,0,0,1
baianinho,cade o baianinho seu carioca,1,1,0,0,0,0,0
magalu,boneca inflavel,1,1,0,0,0,0,0
